experiment,treatment,treatment_col,outcome,learner,n_obs,n_treated,coef,se,t_stat,p_val,ci_lower,ci_upper,significance
llama-3.3-70b,T8a_earned_coappear,treat_earned_coappear,rank_delta,lgbm,398,388,0.9159554259659595,0.7318720483752446,1.251523989745721,0.21074336680929118,-0.5184874301410762,2.3503982820729954,
llama-3.3-70b,T8a_earned_coappear,treat_earned_coappear,rank_delta,rf,398,388,1.4431574216664633,0.5421554214212532,2.661888758546849,0.007770355360114727,0.3805523216576716,2.505762521675255,***
llama-3.3-70b,T8a_earned_coappear,treat_earned_coappear,pre_rank,lgbm,398,388,-0.033884625410657856,0.03888385334137496,-0.8714317769170887,0.3835184414624131,-0.11009557753989022,0.0423263267185745,
llama-3.3-70b,T8a_earned_coappear,treat_earned_coappear,pre_rank,rf,398,388,0.00399284164371309,0.005864380543730031,0.6808633263034204,0.4959579754317225,-0.00750113301363519,0.01548681630106137,
llama-3.3-70b,T8a_earned_coappear,treat_earned_coappear,post_rank,lgbm,491,481,-1.9222493568654098,0.7127802999181956,-2.6968328909848136,0.007000239000035037,-3.319273073594731,-0.5252256401360884,***
llama-3.3-70b,T8a_earned_coappear,treat_earned_coappear,post_rank,rf,491,481,-1.1351300531354271,0.5559750939400266,-2.0416922727439193,0.04118206575400147,-2.2248212135591525,-0.04543889271170176,**
llama-3.3-70b,T8b_earned_count,treat_earned_n,rank_delta,lgbm,398,1836,0.10830136193058364,0.06536575802606102,1.656851617744636,0.09754947813703166,-0.01981316962265596,0.23641589348382325,*
llama-3.3-70b,T8b_earned_count,treat_earned_n,rank_delta,rf,398,1836,0.13982012283316606,0.061989028762404114,2.255562405552092,0.024098049874799743,0.018323859022236447,0.2613163866440957,**
llama-3.3-70b,T8b_earned_count,treat_earned_n,pre_rank,lgbm,398,1836,-0.0005462728309631095,0.00820476807635594,-0.06657992351268639,0.9469161289906658,-0.01662732276212473,0.015534777100198514,
llama-3.3-70b,T8b_earned_count,treat_earned_n,pre_rank,rf,398,1836,-0.00017382896928592627,0.0005141452788179205,-0.33809309634346774,0.7352930328656238,-0.0011815351985903547,0.0008338772600185022,
llama-3.3-70b,T8b_earned_count,treat_earned_n,post_rank,lgbm,491,2346,-0.14869298885139767,0.05669397913317671,-2.6227298052604695,0.008722841900309768,-0.2598111460926894,-0.03757483161010597,***
llama-3.3-70b,T8b_earned_count,treat_earned_n,post_rank,rf,491,2346,-0.15067957444081745,0.055469543309868544,-2.716437984698716,0.006598855652257655,-0.25939788156704446,-0.041961267314590406,***
llama-3.3-70b,T8c_mentioned_snippet,treat_mentioned_snippet,rank_delta,lgbm,398,18,0.8457127377470198,0.46185857155294374,1.8311075940485693,0.06708448527389138,-0.059513428447865446,1.750938903941905,*
llama-3.3-70b,T8c_mentioned_snippet,treat_mentioned_snippet,rank_delta,rf,398,18,1.034909569136185,0.4454622254721263,2.323226325283426,0.020166997269255044,0.16181965073775628,1.9079994875346136,**
llama-3.3-70b,T8c_mentioned_snippet,treat_mentioned_snippet,pre_rank,lgbm,398,18,-0.12229130386841255,0.05204268820541972,-2.3498268072877364,0.0187821480713164,-0.22429309840968265,-0.02028950932714245,**
llama-3.3-70b,T8c_mentioned_snippet,treat_mentioned_snippet,pre_rank,rf,398,18,-0.00858372713034874,0.01206495099227487,-0.7114597594175773,0.47679937859934785,-0.03223059655044827,0.015063142289750793,
llama-3.3-70b,T8c_mentioned_snippet,treat_mentioned_snippet,post_rank,lgbm,491,30,-0.8996697576256668,0.3459328815860285,-2.6007061066322255,0.009303211596880377,-1.5776857466024419,-0.22165376864889175,***
llama-3.3-70b,T8c_mentioned_snippet,treat_mentioned_snippet,post_rank,rf,491,30,-1.2408965953375806,0.3832175234510252,-3.2380998242533807,0.0012032869863446395,-1.9919891395462237,-0.48980405112893755,***
llama-3.3-70b,T8d_mentioned_html,treat_mentioned_html,rank_delta,lgbm,398,55,0.6725273774621189,0.3461748478085078,1.9427389994380475,0.052047701586738424,-0.005962856596190891,1.3510176115204287,*
llama-3.3-70b,T8d_mentioned_html,treat_mentioned_html,rank_delta,rf,398,55,0.5565583283446286,0.374327784789922,1.486820778364013,0.13706215213149037,-0.17711064825627876,1.290227304945536,
llama-3.3-70b,T8d_mentioned_html,treat_mentioned_html,pre_rank,lgbm,398,55,-0.04879874560086094,0.06728901083907594,-0.7252112193707955,0.46832246100020736,-0.18068278340077512,0.08308529219905322,
llama-3.3-70b,T8d_mentioned_html,treat_mentioned_html,pre_rank,rf,398,55,0.011941691139768566,0.010374898035465022,1.151017687012219,0.24972495919719828,-0.008392735353018238,0.03227611763255537,
llama-3.3-70b,T8d_mentioned_html,treat_mentioned_html,post_rank,lgbm,491,66,-0.5814923102180478,0.2952722965681102,-1.9693425931813264,0.048913763167780955,-1.1602153771239736,-0.0027692433121220272,**
llama-3.3-70b,T8d_mentioned_html,treat_mentioned_html,post_rank,rf,491,66,-0.7519945006603965,0.3544150495068942,-2.1217905439023084,0.03385533107748822,-1.4466352332728893,-0.05735376804790371,**
