coef,se,p_val,n,treatment,outcome,seconds,note,engine,paper_label,ci_lo,ci_hi,sig_alpha6
-9.565055263210099e-05,0.0004893686477257856,0.8450351576770156,87008,treat_stats_density,selected,26.0,,ddg,T1,-0.0010548131021746406,0.0008635119969104387,False
0.013682909747583122,0.005186143435085266,0.008330826358331045,89160,treat_question_headings,selected,24.8,,ddg,T2,0.003518068614816001,0.023847750880350245,True
-0.015406835708305675,0.00557167395448092,0.005688656252469393,89160,treat_structured_data,selected,24.1,,ddg,T3,-0.026327316659088277,-0.0044863547575230735,True
0.0012945913610319466,0.0008114250128643409,0.11061072709458863,87984,T4_citation_authority_code,selected,24.9,,ddg,T6,-0.0002958016641821616,0.002884984386246055,False
0.05715713318076596,0.024396231713482434,0.019136188634871987,52328,treat_topical_comp,selected,16.0,,ddg,T5,0.009340519022340385,0.10497374733919153,False
-0.0009724697770034761,0.0014426480657793465,0.5002562373439683,89160,treat_freshness,selected,20.4,,ddg,T4,-0.003800059985930995,0.001855120431924043,False
0.0017658970857282786,0.004858065988970441,0.7162329351309051,86258,treat_stats_density,rank_delta,22.2,,ddg,T1,-0.007755912252653786,0.011287706424110344,False
0.03021358124586911,0.04749079099194982,0.5246468963016815,88321,treat_question_headings,rank_delta,20.4,,ddg,T2,-0.06286836909835254,0.12329553159009075,False
-0.11163862977259222,0.04981186862563342,0.025012772163670594,88321,treat_structured_data,rank_delta,18.9,,ddg,T3,-0.20926989227883372,-0.014007367266350712,False
-0.007315430356975308,0.011123625024739604,0.5107643083253155,82765,T4_citation_authority_code,rank_delta,16.5,,ddg,T6,-0.02911773540546493,0.014486874691514315,False
-1.486716028770482,0.23039269706403287,1.0968270736100294e-10,47884,treat_topical_comp,rank_delta,26.4,,ddg,T5,-1.9382857150159865,-1.0351463425249774,True
-0.09236731918050982,0.01258336118687155,2.1294077612310502e-13,88321,treat_freshness,rank_delta,20.8,,ddg,T4,-0.11703070710677806,-0.06770393125424158,True
0.006003854397086631,0.0028823873465036627,0.03725623445343573,99103,treat_stats_density,post_rank,38.2,,ddg,T1,0.0003543751979394527,0.01165333359623381,False
0.016312601592544676,0.02958297066205036,0.5813467223556457,101894,treat_question_headings,post_rank,32.3,,ddg,T2,-0.041670020905074025,0.07429522409016337,False
0.0621732205509042,0.031509721753884834,0.04847915079763143,101894,treat_structured_data,post_rank,18.7,,ddg,T3,0.0004141659132899239,0.12393227518851847,False
-0.004776163945131619,0.007833617364741615,0.542059925478825,82765,T4_citation_authority_code,post_rank,16.5,,ddg,T6,-0.02013005398002518,0.010577726089761945,False
-0.5707760164716575,0.14464959243000322,7.949347366698056e-05,50082,treat_topical_comp,post_rank,13.1,,ddg,T5,-0.8542892176344639,-0.2872628153088512,True
-0.029405220648015887,0.008224348909273234,0.00034971175038545077,101894,treat_freshness,post_rank,19.1,,ddg,T4,-0.04552494451019143,-0.013285496785840348,True
-0.0005575699031785113,0.0004227331156905175,0.18718103580656886,134712,treat_stats_density,selected,24.2,,searxng,T1,-0.0013861268099319255,0.00027098700357490295,False
0.01428798424225006,0.0035233800299097205,5.009303370751006e-05,142696,treat_question_headings,selected,37.5,,searxng,T2,0.007382159383627008,0.021193809100873113,True
-0.011269049508156546,0.003574540830694634,0.001618308138204183,142696,treat_structured_data,selected,24.7,,searxng,T3,-0.01827514953631803,-0.004262949479995064,True
-0.0016520754935857988,0.001231206532989871,0.17964963925805932,97192,T4_citation_authority_code,selected,49.9,,searxng,T6,-0.0040652402982459465,0.0007610893110743485,False
0.022347511634443158,0.010974766661395987,0.041723949896401935,152064,treat_topical_comp,selected,32.1,,searxng,T5,0.0008369689781070229,0.0438580542907793,False
-0.009305422786215456,0.0009632403553280908,0.0,142696,treat_freshness,selected,24.7,,searxng,T4,-0.011193373882658514,-0.007417471689772398,True
-8.748487606125859e-05,0.00291721115207043,0.976075653496645,164619,treat_stats_density,rank_delta,22.2,,searxng,T1,-0.005805218734119301,0.005630248981996783,False
0.23065934760718493,0.02455655755515771,0.0,172494,treat_question_headings,rank_delta,25.0,,searxng,T2,0.18252849479907582,0.27879020041529406,True
-0.007610934305039738,0.024282515714448706,0.7539519488317372,172494,treat_structured_data,rank_delta,25.8,,searxng,T3,-0.0552046651053592,0.03998279649527973,False
-0.04075521562310811,0.01022727128052105,6.74929205259911e-05,126730,T4_citation_authority_code,rank_delta,23.1,,searxng,T6,-0.06080066733292937,-0.02070976391328685,True
-0.19434406816682878,0.07504875411017715,0.009609563783611108,179207,treat_topical_comp,rank_delta,29.6,,searxng,T5,-0.341439626222776,-0.047248510110881575,False
-0.04214931688309003,0.0066069931282586045,1.776663260955047e-10,172494,treat_freshness,rank_delta,25.3,,searxng,T4,-0.055099023414476894,-0.029199610351703167,True
-0.00852512428355811,0.002430251388137235,0.00045162704995882486,179023,treat_stats_density,post_rank,23.6,,searxng,T1,-0.01328841700430709,-0.0037618315628091285,True
-0.04597018179114479,0.01987696690532927,0.020737144991518353,187522,treat_question_headings,post_rank,25.1,,searxng,T2,-0.08492903692559015,-0.007011326656699422,False
0.08961378779373505,0.020293892099919452,1.0063666362025714e-05,187522,treat_structured_data,post_rank,24.4,,searxng,T3,0.049837759277892926,0.1293898163095772,True
-0.028095642315727143,0.011577297740888252,0.015233172220431745,126730,T4_citation_authority_code,post_rank,19.9,,searxng,T6,-0.05078714588786812,-0.005404138743586168,False
-0.23758746827132243,0.06189137564680226,0.00012364639727779903,193611,treat_topical_comp,post_rank,24.5,,searxng,T5,-0.3588945645390549,-0.11628037200359,True
0.03418086294805521,0.005545600299604063,7.110936284249192e-10,187522,treat_freshness,post_rank,25.4,,searxng,T4,0.023311486360831246,0.045050239535279174,True
