cell,n,median_abs_delta,mean_abs_delta,share_moved_ge1,share_moved_ge3
OVERALL,345939.0,1.0,2.344676373580313,0.6915525569536826,0.33867242490728133
ddg x Llama-3.3-70B-Instruct,70721.0,1.0,2.7164491452326747,0.7105668754683899,0.3488779853226057
ddg x Qwen2.5-72B-Instruct,70607.0,1.0,2.2055178665004886,0.6160295721387398,0.28276233234665116
searxng x Llama-3.3-70B-Instruct,100732.0,2.0,2.4293868879799865,0.7425048643926458,0.3852996068776556
searxng x Qwen2.5-72B-Instruct,103879.0,1.0,2.104015248510286,0.6805321576064459,0.3245121728164499
