treatment,outcome,learner,confounder,importance_outcome,importance_treatment,coef_outcome,se_outcome,pval_outcome,coef_treatment,se_treatment,pval_treatment
T1a_stats_present,rank_delta,lgbm,conf_title_kw_sim,178.0,131.0,-0.1914099060325718,0.16188601130717015,0.23788819471759393,-0.011974300185515818,0.0284702147803594,0.674321452421097
T1a_stats_present,rank_delta,lgbm,conf_snippet_kw_sim,145.0,148.0,0.2424589419863879,0.13072693532889443,0.06451011619712932,-0.0293789216337611,0.02299039859182035,0.20216941621956241
T1a_stats_present,rank_delta,lgbm,conf_title_len,95.0,117.0,-0.1733621287310924,0.12301467603944444,0.15967173447451133,0.049527925928069566,0.021634075851890453,0.022675218989144597
T1a_stats_present,rank_delta,lgbm,conf_snippet_len,163.0,123.0,0.13717337547409994,0.12267229448787036,0.26427146944596513,0.008844092407489746,0.021573862642414,0.6821061556722139
T1a_stats_present,rank_delta,lgbm,conf_brand_recog,32.0,14.0,0.3237807202096304,0.16560429176786393,0.05138954848745758,-0.04170906601966511,0.029124133191683416,0.15303543165804645
T1a_stats_present,rank_delta,lgbm,conf_title_has_kw,0.0,0.0,0.092990330312203,0.14859462947507532,0.5318692976948858,-0.0017537250174775847,0.026132715125929743,0.9465350752781836
T1a_stats_present,rank_delta,lgbm,conf_word_count,168.0,184.0,-0.37729723654039615,0.14661154262130405,0.010494831760967438,0.0548977374732573,0.02578395794673254,0.033964887045099035
T1a_stats_present,rank_delta,lgbm,conf_readability,111.0,110.0,0.028108525292702947,0.12067321857541995,0.815956028312474,-0.00965406344383128,0.021222293534433972,0.6494717923894915
T1a_stats_present,rank_delta,lgbm,conf_internal_links,143.0,147.0,-0.21531766184303186,0.1473272995838145,0.14480951958702715,0.03714433794664233,0.02590983512591971,0.15261085032345956
T1a_stats_present,rank_delta,lgbm,conf_outbound_links,90.0,78.0,-0.06435240991418612,0.1354333237286748,0.6349802960570261,0.0213664510113783,0.023818091407892625,0.3703210547299036
T1a_stats_present,rank_delta,lgbm,conf_images_alt,89.0,150.0,0.16969303259912014,0.13006398715971088,0.19288643254452276,0.009681155793012533,0.022873808673936166,0.6723879019231433
T1a_stats_present,rank_delta,lgbm,conf_bm25,112.0,175.0,0.29841115518898337,0.13150012626248245,0.023880779892128556,0.0518464374878927,0.023126376442949865,0.0256177635974002
T1a_stats_present,rank_delta,lgbm,conf_domain_authority,44.0,40.0,0.37498152590598266,0.17671715753693876,0.034570620741685376,-0.005154001334406551,0.031078506350402726,0.8683834895699074
T1a_stats_present,rank_delta,lgbm,conf_backlinks,130.0,111.0,0.017418296195779347,0.14309871086606596,0.9031913297702645,-0.029003940083003898,0.02516617093875487,0.24993129038031925
T1a_stats_present,rank_delta,lgbm,conf_referring_domains,70.0,64.0,-0.22414789682910785,0.1417961579439987,0.11486466842814913,-0.03155985591182136,0.024937096411841764,0.20653567828064268
T1a_stats_present,rank_delta,lgbm,conf_serp_position,255.0,61.0,3.5232824306199926,0.12062751629255598,0.0,-0.03293934026792969,0.021214256065361856,0.12143102359016367
T1b_stats_density,rank_delta,lgbm,conf_title_kw_sim,154.0,120.0,-0.18933853187609484,0.1579452229014125,0.23147593440150738,-0.021798958338709228,0.10520554815326118,0.8359779591771879
T1b_stats_density,rank_delta,lgbm,conf_snippet_kw_sim,144.0,202.0,0.24870959189763148,0.1317535203678846,0.0599397387533358,-0.1432631237477075,0.08775954775205297,0.10353265007568968
T1b_stats_density,rank_delta,lgbm,conf_title_len,100.0,107.0,-0.16598914623029512,0.12376361671563613,0.18077916529103955,0.08371019903183109,0.08243756220551177,0.31063671193410225
T1b_stats_density,rank_delta,lgbm,conf_snippet_len,156.0,94.0,0.17283380193864023,0.12325782177679533,0.1617857538095151,0.014682526577185658,0.08210065784831506,0.8581758147289738
