treatment,treatment_col,label,outcome,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),pre_rank,plr,rf,355,-0.010145853600751544,0.015906197744377543,-0.63785536705891,0.5235678341016401,-0.041321428310703776,0.021029721109200684,,-7.0157515786022325e-15,1.762341891721028e-15,8.411168190147755e-05
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),pre_rank,plr,lgbm,349,0.0012721747926811484,0.014009227535813702,0.09080977444537283,0.9276437432602804,-0.02618540662874052,0.028729756214102814,,2.7261790013944645e-15,5.344126901551953e-16,5.694528173449953e-07
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),pre_rank,plr,rf,349,0.0010729141140148155,0.0027570601851897875,0.38915150266876,0.6971640765826864,-0.0043308245521665,0.00647665278019613,,2.7261790013944645e-15,5.344126901551953e-16,5.694528173449953e-07
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),pre_rank,plr,lgbm,355,-0.058956836457436324,0.042337041238085155,-1.3925592042648576,0.1637531267434068,-0.1419359124960703,0.024022239581197632,,5.6011451942435195e-15,1.3257601687955053e-15,3.081163769458328e-05
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),pre_rank,plr,rf,355,0.012301493146215217,0.006052188822871542,2.032569291250006,0.04209605664660145,0.00043942102575112926,0.024163565266679305,**,5.6011451942435195e-15,1.3257601687955053e-15,3.081163769458328e-05
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),pre_rank,plr,lgbm,355,-0.001264075647168747,0.0009732080514822298,-1.2988750403816693,0.19398681665374906,-0.00317152837753832,0.0006433770832008261,,-1.0842973646975765e-14,1.1536370020666078e-15,0.0
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),pre_rank,plr,rf,355,-0.00021573157829027207,0.00019451712227857163,-1.1090621522835342,0.26740337074314324,-0.0005969781323326462,0.0001655149757521021,,-1.0842973646975765e-14,1.1536370020666078e-15,0.0
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),pre_rank,plr,lgbm,355,0.04119720244239988,0.044659426167789194,0.9224749616714409,0.3562808847211466,-0.046333664416692566,0.12872806930149233,,3.0433457835594296e-15,1.7557148143984172e-15,0.08394029731344532
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),pre_rank,plr,rf,355,0.013092953119001575,0.008791134431169315,1.4893360147673311,0.1363989085034718,-0.0041373537493403,0.03032325998734345,,3.0433457835594296e-15,1.7557148143984172e-15,0.08394029731344532
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),pre_rank,plr,lgbm,355,0.026786133838387426,0.07945946561864135,0.33710437931894854,0.7360382162377859,-0.12895155700494831,0.18252382468172318,,9.359583897299972e-15,6.515854563345359e-15,0.1518070278002448
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),pre_rank,plr,rf,355,-0.007790069729843125,0.005320818945987539,-1.4640734460092206,0.1431738817325711,-0.018218683232237073,0.002638543772550822,,9.359583897299972e-15,6.515854563345359e-15,0.1518070278002448
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),pre_rank,plr,lgbm,355,0.03446076366963375,0.05640006235344905,0.6110057725410717,0.5411957587556915,-0.07608132726893974,0.14500285460820722,,7.49783113933486e-16,1.68161104566924e-15,0.6559760977256528
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),pre_rank,plr,rf,355,-0.0019824868006824738,0.0037977335034604784,-0.5220184088420212,0.6016575133216613,-0.009425907690346132,0.005460934088981184,,7.49783113933486e-16,1.68161104566924e-15,0.6559760977256528
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),pre_rank,plr,lgbm,349,0.11588287412663122,0.12578238143556647,0.9212965504711295,0.3568956215986667,-0.13064606337675855,0.362411811630021,,1.959571371929998e-14,1.1529435067221984e-14,0.09014099102621564
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),pre_rank,plr,rf,349,0.03689888952025347,0.02755657272905165,1.3390231754528978,0.1805631283499043,-0.017111000566046385,0.09090877960655333,,1.959571371929998e-14,1.1529435067221984e-14,0.09014099102621564
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),pre_rank,plr,lgbm,355,0.01196199204090562,0.010393387085895678,1.1509233652173518,0.24976376440103287,-0.008408672324833614,0.03233265640664486,,-8.278970198324139e-15,9.41930271309979e-16,0.0
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),pre_rank,plr,rf,355,0.003003938649946197,0.002797733671317464,1.073704291706805,0.28295523724652916,-0.0024795185841710527,0.008487395884063446,,-8.278970198324139e-15,9.41930271309979e-16,0.0
T7_source_earned,treat_source_earned,T7 Source: Earned,pre_rank,plr,lgbm,399,0.004062849238598215,0.02557256491507862,0.1588753123548665,0.8737671115093029,-0.04605845698726846,0.054184155464464895,,-4.116817020323996e-15,6.653673380640198e-15,0.5364650025030777
T7_source_earned,treat_source_earned,T7 Source: Earned,pre_rank,plr,rf,399,0.0,0.0,,,0.0,0.0,,-4.116817020323996e-15,6.653673380640198e-15,0.5364650025030777
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),post_rank,plr,lgbm,419,-0.4940109055167743,0.25485407778087915,-1.9384069104105905,0.05257359800634654,-0.9935157192804671,0.0054939082469184775,*,-0.46163148427661904,0.2755445246874437,0.09464657671098253
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),post_rank,plr,rf,419,-0.4704494991729013,0.2623587375572235,-1.7931535406564867,0.07294837652631989,-0.9846631758144553,0.04376417746865274,*,-0.46163148427661904,0.2755445246874437,0.09464657671098253
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),post_rank,plr,lgbm,411,-0.06369904004487222,0.03853186119347772,-1.6531524320879298,0.09829984464861703,-0.1392201002413851,0.011822020151640661,*,-0.023373437511526502,0.0419877242079022,0.5780676311916788
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),post_rank,plr,rf,411,-0.006587694748527362,0.026579517890038533,-0.24784854171475765,0.8042515955270896,-0.058682592539440935,0.04550720304238621,,-0.023373437511526502,0.0419877242079022,0.5780676311916788
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),post_rank,plr,lgbm,419,-0.36422094953309575,0.25124195850120595,-1.449682018504674,0.1471472123432657,-0.8566461396007663,0.1282042405345748,,-0.12966236028204386,0.26052325741140664,0.618968493001872
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),post_rank,plr,rf,419,-0.3248454784016607,0.25919188505646856,-1.2533011144654032,0.2100961430130518,-0.8328522381973846,0.18316128139406312,,-0.12966236028204386,0.26052325741140664,0.618968493001872
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),post_rank,plr,lgbm,419,-0.010328237511313872,0.005794896047873255,-1.7822990138199921,0.07470048344876715,-0.02168602505929895,0.0010295500366712049,*,-0.004142471512573988,0.004751916411969764,0.3838677392834189
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),post_rank,plr,rf,419,-0.004311522394680006,0.0054366519629213735,-0.7930473431231412,0.4277502401312032,-0.014967164438484887,0.006344119649124876,,-0.004142471512573988,0.004751916411969764,0.3838677392834189
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),post_rank,plr,lgbm,419,0.04550727486862015,0.22841011271589265,0.1992349389767355,0.8420789698898323,-0.40216831975926365,0.493182869496504,,0.09600315400614279,0.23083179996552033,0.6777050016864241
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),post_rank,plr,rf,419,0.0696909431259016,0.2320296742660517,0.3003535791115753,0.7639074684014199,-0.38507886178011996,0.5244607480319232,,0.09600315400614279,0.23083179996552033,0.6777050016864241
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),post_rank,plr,lgbm,419,0.6381832037463411,0.47016437088893226,1.3573618999239314,0.17466624797937225,-0.28332203000989853,1.5596884375025808,,0.0501798763139299,0.3827179751258986,0.8957504835381411
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),post_rank,plr,rf,419,0.6142967668652128,0.4691886723994848,1.3092745051231278,0.1904413824510658,-0.3052961329919395,1.5338896667223652,,0.0501798763139299,0.3827179751258986,0.8957504835381411
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),post_rank,plr,lgbm,419,0.8706929183466471,0.5344204777822921,1.629228209891581,0.10326471718773907,-0.17675197070733362,1.918137807400628,,0.7633082141676597,0.4234165574578769,0.07218037199751226
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),post_rank,plr,rf,419,0.7101156314240309,0.5929855213502357,1.1975260876641445,0.23110156558608919,-0.45211463377613836,1.8723458966242001,,0.7633082141676597,0.4234165574578769,0.07218037199751226
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),post_rank,plr,lgbm,411,-0.304176213581598,0.7322968082941829,-0.4153728517404687,0.6778689774172568,-1.7394515838318287,1.1310991566686328,,-0.009404595969796647,0.7896496211367299,0.9905035953668464
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),post_rank,plr,rf,411,-0.23504190768244793,0.7782725418136702,-0.3020046256992584,0.7626485367059205,-1.7604280597936848,1.290344244428789,,-0.009404595969796647,0.7896496211367299,0.9905035953668464
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),post_rank,plr,lgbm,419,0.10867739926151013,0.06742795530956987,1.6117558179327713,0.10701508597749985,-0.023478964696423132,0.2408337632194434,,0.1648246084980366,0.06377506789951906,0.010105463638337753
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),post_rank,plr,rf,419,0.12664388757746414,0.06596748848982832,1.9197924686338734,0.05488411856573334,-0.0026500140131599237,0.2559377891680882,*,0.1648246084980366,0.06377506789951906,0.010105463638337753
T7_source_earned,treat_source_earned,T7 Source: Earned,post_rank,plr,lgbm,492,5.199630417865142,0.38260106027048213,13.590214345431326,4.577379236120295e-42,4.449746119288157,5.949514716442126,***,5.732067371630972,2.100197725677196,0.006582992405396837
T7_source_earned,treat_source_earned,T7 Source: Earned,post_rank,plr,rf,492,5.3693249859508025,0.44839331777944585,11.97458742815576,4.8283347746131474e-33,4.490490232194665,6.24815973970694,***,5.732067371630972,2.100197725677196,0.006582992405396837
