,count,mean,std,min,25%,50%,75%,max,n_missing,pct_missing
pre_rank,399.0,8.674185463659148,4.8855350309235455,1.0,4.0,8.0,13.0,19.0,93,18.9
post_rank,492.0,5.436991869918699,2.853891739543314,1.0,3.0,5.0,8.0,10.0,0,0.0
rank_delta,399.0,3.889724310776942,4.06330183263574,-9.0,1.0,4.0,7.0,16.0,93,18.9
T1_statistical_density_code,411.0,1.6385888077858881,2.716677571606456,0.0,0.275,0.91,1.98,29.41,81,16.5
T2_question_heading_code,419.0,0.5178997613365155,0.5002768415166123,0.0,0.0,1.0,1.0,1.0,73,14.8
T3_structured_data_code,419.0,0.18854415274463007,0.39161367770725586,0.0,0.0,0.0,0.0,1.0,73,14.8
T4_citation_authority_code,419.0,0.03818615751789976,0.22620766531266084,0.0,0.0,0.0,0.0,3.0,73,14.8
T1_statistical_density_llm,419.0,7.954270659544644,8.690404327962076,0.0,0.0,6.25,12.5,34.69,73,14.8
T2_question_heading_llm,419.0,0.5441527446300716,0.49864211361908284,0.0,0.0,1.0,1.0,1.0,73,14.8
T3_structured_data_llm,419.0,0.3937947494033413,0.4891743516254247,0.0,0.0,0.0,1.0,1.0,73,14.8
T4_citation_authority_llm,419.0,0.30787589498806683,0.8085725054210176,0.0,0.0,0.0,0.0,6.0,73,14.8
X1_domain_authority,467.0,4.58710920770878,1.390048936544321,0.0,3.79,4.52,5.35,10.0,25,5.1
X1_global_rank,462.0,2485381.196969697,16474652.653006261,4.0,2928.0,41359.5,1176514.25,231009121.0,30,6.1
X2_domain_age_years,427.0,20.214519906323186,8.045263671916487,0.9,14.0,21.0,27.0,39.9,65,13.2
X3_word_count,411.0,2257.912408759124,2358.718309904723,3.0,839.5,1553.0,2747.5,17797.0,81,16.5
X4_lcp_ms,0.0,,,,,,,,492,100.0
X6_readability,401.0,13.182693266832919,2.7598571934394633,5.96,11.47,13.03,14.58,27.97,91,18.5
X7_internal_links,419.0,172.95465393794748,165.08179890938874,0.0,89.5,131.0,200.0,1116.0,73,14.8
X7B_outbound_links,419.0,20.517899761336515,43.345905248345446,0.0,6.0,13.0,22.0,801.0,73,14.8
X8_keyword_difficulty,492.0,4.59089430894309,0.5841787218229387,3.26,4.17,4.495,5.12,5.79,0,0.0
X9_images_with_alt,419.0,39.124105011933175,54.98128316889337,0.0,10.0,25.0,47.5,650.0,73,14.8
X10_https,468.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,24,4.9
