treatment,outcome,learner,confounder,importance_outcome,importance_treatment,coef_outcome,se_outcome,pval_outcome,coef_treatment,se_treatment,pval_treatment
T1b_stats_density,rank_delta,lgbm,conf_snippet_kw_sim,117.0,131.0,0.09754862414815009,0.10200041043998284,0.3394792275871177,-0.06121306820656557,0.0777927671143208,0.4318289556490422
T1b_stats_density,rank_delta,lgbm,conf_title_len,189.0,101.0,0.10209724422638478,0.09836078867490104,0.299912581489407,0.10528085251861621,0.07501693271195024,0.161276907378461
T1b_stats_density,rank_delta,lgbm,conf_snippet_len,155.0,140.0,-0.20056500499580773,0.1009304373894219,0.04759662264885445,-0.03242321607808066,0.0769767295711203,0.6738328673478722
T1b_stats_density,rank_delta,lgbm,conf_brand_recog,6.0,25.0,0.2558538124589128,0.13558252266856832,0.05988570310406227,0.04683595690320739,0.10340487420816923,0.6508429826006648
T1b_stats_density,rank_delta,lgbm,conf_title_has_kw,0.0,0.0,0.07779943652789588,0.10904100678293581,0.47596631181443905,0.0345928194747582,0.08316242660187308,0.677660675064014
T1b_stats_density,rank_delta,lgbm,conf_word_count,173.0,235.0,-0.3329894923176354,0.11621611298579303,0.004389875757350614,-0.01832631654056237,0.0886346728747233,0.8363022416918873
T1b_stats_density,rank_delta,lgbm,conf_readability,165.0,173.0,-0.1636811706404176,0.09704196699735888,0.09245164269032302,-0.0142741090442303,0.07401110550808108,0.847164524628119
T1b_stats_density,rank_delta,lgbm,conf_internal_links,168.0,165.0,0.12944839822424925,0.10563039316174405,0.22112480825923653,-0.07626149224257284,0.0805612500967411,0.34440883588174676
T1b_stats_density,rank_delta,lgbm,conf_outbound_links,97.0,105.0,0.04139926104583639,0.11106507259341769,0.7095365953084714,0.031786657476081226,0.08470612313740343,0.7076704645764613
T1b_stats_density,rank_delta,lgbm,conf_images_alt,167.0,92.0,-0.06084068401405414,0.0996439538062539,0.5418291836781179,0.059953609832896215,0.07599556569785655,0.4306394546174004
T1b_stats_density,rank_delta,lgbm,conf_bm25,119.0,177.0,-0.1261956865065833,0.10704232596038545,0.23913646857578463,-0.18741546415325935,0.08163809046348071,0.022218300277566216
T1b_stats_density,rank_delta,lgbm,conf_domain_authority,59.0,31.0,0.1715235282900811,0.14161282909024855,0.22653913621148103,-0.0008779132438711082,0.10800401475148882,0.9935185615559718
T1b_stats_density,rank_delta,lgbm,conf_backlinks,91.0,64.0,-0.08439114290059549,0.10433937015486143,0.4191102656786885,-0.04597214960728249,0.07957662413611574,0.5637904493015236
T1b_stats_density,rank_delta,lgbm,conf_referring_domains,42.0,49.0,0.08240807237406705,0.10891096089120174,0.4497085151847897,-0.14347656090283928,0.08306324435617225,0.08489441594966474
T1b_stats_density,rank_delta,lgbm,conf_serp_position,266.0,86.0,3.389481452972627,0.09571572933801514,0.0,-0.05762624200070865,0.07299962234907678,0.43035031935834844
T2a_question_headings,rank_delta,lgbm,conf_title_kw_sim,83.0,151.0,0.014031185178483334,0.1195959723148436,0.9066642793835524,0.016564618618421383,0.023665575696120357,0.4843690884676344
